loan_status,repaid_percentage,loan_type_FSL,agreement_signing_date_timestamp,interest_rate,loan_type_NON POOL,loan_type_POOL LOAN,loan_type_SCP USD,loan_type_SNGL CRNCY,first_repayment_date_timestamp,original_principal_amount,last_loan_status
1,-1.0323706338523533,0,-1.8575109641358423,0.05846085173072198,0,0,0,0,-8.181887862536277,1.9668214594108964,0
1,-1.0323706338523533,0,-1.8575109641358423,0.05846085173072198,0,0,0,0,-8.181887862536277,-0.3256786050075195,0
1,-1.0323706338523533,0,-1.8575109641358423,0.05846085173072198,0,0,0,0,-8.181887862536277,2.8992825321243405,0
7,-1.0323706338523533,0,0.543544811364025,1.011679806326694,0,1,0,0,0.1484873644631885,-0.5229402384574762,0
5,-1.0323706338523533,1,0.6677605140338235,-1.0391852171979732,0,0,0,0,-0.18053477073525123,-0.4173786075842561,0
5,-1.0323706338523533,1,0.6851968736484523,-1.0391852171979732,0,0,0,0,-0.5211002843967436,-0.5922483799398934,0
5,-1.0323706338523533,1,0.6893933500899996,-1.0391852171979732,0,0,0,0,-0.02215388238193822,1.0071702696543503,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,-0.3480213054538294,-0.059108830075145544,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.8477579865138276,0.04751907989780403,0
6,-1.0323706338523533,0,0.6727123562348493,-0.8832039337186322,0,0,0,1,-1.306193415890079,0.12749001237751623,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.7660222632350694,0.6872865397355015,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.7823694078908211,0.10083303488427882,0
5,-1.0323706338523533,1,0.7463395354017957,-1.0391852171979732,0,0,0,0,0.8555730688273229,-0.2190506950345699,0
8,-1.0323706338523533,0,0.5779978829491279,1.1070017017862912,0,1,0,0,0.28908714810322783,-0.5922483799398934,0
1,-1.0323706338523533,1,-1.8575109641358423,0.05846085173072198,0,0,0,0,0.8631730571321898,-0.3683297689966993,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.8042372987680326,-0.059108830075145544,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,1.0399086342217854,-0.2190506950345699,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.9198144794043117,-0.04684662042825634,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.8980182865299762,0.20746094485722838,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.9755238276390442,0.7406004947219763,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,1.0171086693071845,0.6019660370298869,0
7,-1.0323706338523533,0,0.5035943556404952,-1.0391852171979732,0,0,0,0,0.16153640098663938,0.20746094485722838,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.9219654194905947,4.739147118707586,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.837003286082412,1.2737400445867242,0
8,1.1318676481498238,0,0.41162857442398726,0.9827943834601495,1,0,0,0,-0.3110251359697599,-0.5202745407081525,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.8783730337419239,-0.06710592332311675,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.9307842738443556,1.0071702696543503,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.9852747560301943,1.8028970420139823,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,1.1664556092981082,2.6065889192485936,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,1.4065005229273033,-0.3789925599939943,0
8,-1.0323706338523533,0,0.5611070652719002,1.0954475326396733,0,1,0,0,0.2302230877419467,-0.5922483799398934,0
8,-1.0323706338523533,0,0.5662267665305878,1.1070017017862912,0,1,0,0,0.24542306435168068,-0.5922483799398934,0
8,-1.0323706338523533,0,0.5717451330512224,1.1070017017862912,0,1,0,0,0.25861549688088376,-0.5922483799398934,0
6,-0.20941126256551137,0,0.5851109105175505,-0.8254330879855429,0,0,0,1,-0.5117795440228502,1.1113423256048027,0
5,-1.0323706338523533,0,0.6686207917043406,-0.7618851576791449,0,0,0,1,0.5947357343640578,-0.08043441206973545,0
5,-1.0323706338523533,1,0.670740012307322,-1.0391852171979732,0,0,0,0,-0.5993945035374488,0.6339725847490267,0
8,-1.0323706338523533,0,0.5590927565799575,1.1070017017862912,0,1,0,0,0.22369856948022127,-0.5922483799398934,0
8,-1.0323706338523533,0,0.577746094362635,1.1070017017862912,0,1,0,0,0.28607583198243147,-0.5922483799398934,0
6,-0.8780818965111536,1,0.6523594454933451,-1.0391852171979732,0,0,0,0,-0.9928014453186298,0.06351326639374646,0
5,-1.0323706338523533,1,0.6797834190388563,-1.0391852171979732,0,0,0,0,-0.7300282647777098,-0.4413698873281698,0
5,-1.0323706338523533,1,0.6932121436518075,-1.0391852171979732,0,0,0,0,0.8032335267277673,-0.3789925599939943,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.8194372753777667,-0.059108830075145544,0
2,-1.0323706338523533,1,0.7336032294016998,-1.0391852171979732,0,0,0,0,0.9437616123649303,-0.5655914024466561,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.880523973828207,0.4740307197896023,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.8817428398771008,0.4740307197896023,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,0.9219654194905947,-0.512810587010046,0
1,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,1.0551086108315193,0.04751907989780403,0
7,-1.0323706338523533,0,0.45621613661542676,1.2427631892590512,1,0,0,0,-0.5231795264801506,0.7406004947219763,0
7,-1.0323706338523533,0,0.5530917952685449,0.8672526919939709,0,1,0,0,0.1975287984304434,-0.3736611644953468,0
9,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,-8.181887862536277,-0.4109809329858791,0
9,-1.0323706338523533,1,-1.8575109641358423,-1.0391852171979732,0,0,0,0,-0.5211002843967436,-0.5655914024466561,0
5,-1.0323706338523533,1,0.6635430552100685,-1.0391852171979732,0,0,0,0,-0.756556525841868,-0.2723646500210447,0
6,-1.0323706338523533,1,0.6905263987292173,-1.0391852171979732,0,0,0,0,0.6448526383744542,0.7406004947219763,0
